Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 ясьтагеретсо ястидохирп уме адгот и; хыртсо ;и тогда ему приходится остерегаться ; острых ; ; лезвий коньков.;Гуревич М., Степанов Ю. Из чего сделан хоккей // «Химия и жизнь», 1968;Гуревич М., Степанов Ю;;Из чего сделан хоккей;1968;нехудожественная, публицистика;статья;спорт;«Химия и жизнь»;1968;журнал;омонимия не снята;Нередко страж ворот оказывается на льду, и тогда ему приходится остерегаться острых лезвий коньков. [Гуревич М., Степанов Ю. Из чего сделан хоккей // «Химия и жизнь», 1968] [омонимия не снята]
 еынпурк тюапутсыв йен ан и; еыртсо ;и на ней выступают крупные ; острые ; ; зубы…;В. Нечаев. Тайна «часов смерти». Глазами наблюдателя... // «Химия и жизнь», 1967;В. Нечаев;;Тайна «часов смерти». Глазами наблюдателя...;1967;нехудожественная, публицистика;статья;биология, наука и технологии;«Химия и жизнь»;1967;журнал;омонимия не снята;Но перед нерестом рыбы переодеваются в брачный наряд: блеск исчезает, по грязно- серым бокам выступают малиновые, лиловые и черные поперечные полосы, полость рта и плавники чернеют, на спине вырастает горб, вытягивается в длину и загибается вниз рыло, нижняя челюсть заворачивается вверх и на ней выступают крупные острые зубы… [В. Нечаев. Тайна «часов смерти». Глазами наблюдателя... // «Химия и жизнь», 1967] [омонимия не снята]
 йошьлоб екшиМ ладоп чивонакирфА навИ; йыртсо ;Иван Африканович подал Мишке большой ; острый ; ; нож.;Василий Белов. Привычное дело (1967);Василий Белов;1932;Привычное дело;1967;художественная;повесть;_;;;книга;омонимия не снята;Иван Африканович подал Мишке большой острый нож. [Василий Белов. Привычное дело (1967)] [омонимия не снята]
 ан угамуб илавыламереп овилпорот ,яинелвяъбо; хыртсо ;объявления, торопливо перемалывали бумагу на ; острых ; ; зубах.;Сергей Залыгин. Соленая Падь (1967);Сергей Залыгин;1913;Соленая Падь;1967;художественная;роман;_;;;книга;омонимия не снята;Задирая рогатые головы, они глодали объявления, торопливо перемалывали бумагу на острых зубах. [Сергей Залыгин. Соленая Падь (1967)] [омонимия не снята]
 мищятселб яславобюлаз и нежон зи; мыртсо ;из ножен и залюбовался блестящим ; острым ; ; лезвием.;Юрий Рытхэу. Время таяния снегов (1967);Юрий Рытхэу;1930;Время таяния снегов;1967;художественная;роман;_;;;книга;омонимия не снята;Он вытащил его из ножен и залюбовался блестящим острым лезвием. [Юрий Рытхэу. Время таяния снегов (1967)] [омонимия не снята]
 он ,яревз огомодевен ми ьтираду; еыртсо ;ударить им неведомого зверя, но ; острые ; ; зубы, вонзившиеся в руку, разжали;Юрий Рытхэу. Время таяния снегов (1967);Юрий Рытхэу;1930;Время таяния снегов;1967;художественная;роман;_;;;книга;омонимия не снята;Тэпкэн достал нож, хотел ударить им неведомого зверя, но острые зубы, вонзившиеся в руку, разжали пальцы, и нож упал в воду. [Юрий Рытхэу. Время таяния снегов (1967)] [омонимия не снята]
 ,еикперк ,еытавотлеж вижанбо и имятсюлеч; еыртсо ;челюстями и обнажив желтоватые, крепкие, ; острые ; ; зубы, ― то первому же человеку;В. П. Катаев. Трава забвенья (1964-1967);В. П. Катаев;1897;Трава забвенья;1964-1967;художественная;роман;_;;;книга;омонимия не снята;не закричал, а как-то ужасно проскрежетал он, играя челюстями и обнажив желтоватые, крепкие, острые зубы, ― то первому же человеку я собственными зубами перегрызу горло, и пусть меня потом убивают!  [В. П. Катаев. Трава забвенья (1964-1967)] [омонимия не снята]
 лизнов моксерт с ,морберес микгям; еортсо ;мягким серебром, с треском вонзил ; острое ; ; лезвие с глубоким желобком в;В. П. Катаев. Трава забвенья (1964-1967);В. П. Катаев;1897;Трава забвенья;1964-1967;художественная;роман;_;;;книга;омонимия не снята;Но его схватили, поволокли, прижали к синему столбу с золотыми разводами, и бритоголовый Лама, скрипнув зубами, выхватил из-за пояса китайский пастушеский нож в сандаловых ножнах, выложенных мягким серебром, с треском вонзил острое лезвие с глубоким желобком в грудь Революционера, просунул в багрово- красное, как бы раскаленное устье раны- цветка свою мускулистую, обнаженную до плеча руку борца и вырвал сердце, а распростертый труп человека [В. П. Катаев. Трава забвенья (1964-1967)] [омонимия не снята]
 с переч ,итсреш икчолк ,итсок; имыртсо ;кости, клочки шерсти, череп с ; острыми ; ; зубами.;А. А. Ливеровский. Журавлиная родина. Рассказы охотника (1966);А. А. Ливеровский;1903;Журавлиная родина. Рассказы охотника;1966;художественная;миниатюра, рассказ цикл;природа;;;книга;омонимия не снята;На полу ― кости, клочки шерсти, череп с острыми зубами. [А. А. Ливеровский. Журавлиная родина. Рассказы охотника (1966)] [омонимия не снята]
 тюад ен мятед отч ,теанз; огортсо ;знает, что детям не дают ; острого ;: ; ножей, ножниц, вилок и тому;А. И. Пантелеев. Наша Маша (1966);А. И. Пантелеев;1908;Наша Маша;1966;нехудожественная, публицистика;дневник, записные книжки;_;;;книга;омонимия не снята;Маша знает, что детям не дают острого: ножей, ножниц, вилок и тому подобного. [А. И. Пантелеев. Наша Маша (1966)] [омонимия не снята]
 обил ,ектав еж йот обил; умортсо ;либо той же ватке, либо ; острому ; ; лезвию скальпеля.;В. А. Солоухин. Письма из Русского музея (1966);В. А. Солоухин;1924;Письма из Русского музея;1966;художественная;цикл, эссе;_;;;книга;омонимия не снята;Заскорузлая броня олифы начинает разрыхляться от нашатыря и поддается теперь либо той же ватке, либо острому лезвию скальпеля. [В. А. Солоухин. Письма из Русского музея (1966)] [омонимия не снята]
 и хиклем ыделс ьсилендив итокям; хыртсо ;мякоти виднелись следы мелких и ; острых ; ; зубов.;Михаил Владимиров. Остров Пуа-ту-тахи // «Химия и жизнь», 1966;Михаил Владимиров;;Остров Пуа-ту-тахи;1966;художественная;рассказ;_;«Химия и жизнь»;1966;журнал;омонимия не снята;Один из них был объеден, на рыжей мякоти виднелись следы мелких и острых зубов. [Михаил Владимиров. Остров Пуа-ту-тахи // «Химия и жизнь», 1966] [омонимия не снята]
 иктолокищ ешыв угон в уме; еыртсо ;ему в ногу выше щиколотки ; острые ; ; зубы.;Михаил Владимиров. Остров Пуа-ту-тахи // «Химия и жизнь», 1966;Михаил Владимиров;;Остров Пуа-ту-тахи;1966;художественная;рассказ;_;«Химия и жизнь»;1966;журнал;омонимия не снята;Он наступил на нее и она вонзила ему в ногу выше щиколотки острые зубы. [Михаил Владимиров. Остров Пуа-ту-тахи // «Химия и жизнь», 1966] [омонимия не снята]
 ьтавытавхирп латс ежу и сукв; имыртсо ;вкус и уже стал прихватывать ; острыми ; ; зубами край моей рубахи, но;Фазиль Искандер. Созвездие Козлотура (1966);Фазиль Искандер;1929;Созвездие Козлотура;1966;художественная;повесть;_;;;книга;омонимия не снята;Козел мой совсем вошел во вкус и уже стал прихватывать острыми зубами край моей рубахи, но я закатал рукав и дал ему попастись на свежем месте. [Фазиль Искандер. Созвездие Козлотура (1966)] [омонимия не снята]
 екур в теарги ,оселок яститурк; йыртсо ;крутится колесо, играет в руке ; острый ; ; нож, листик пергамента слетает под;Н. Н. Берберова. Курсив мой (1960-1966);Н. Н. Берберова;1901;Курсив мой;1960-1966;художественная;роман;искусство и культура;;;книга;омонимия не снята;У нее губы, как ломтики ветчины, пальцы ― розовые колбаски, глаза ― черные блестящие маслины, и она за стеклом растворяется среди окороков и свиных котлет, так что, когда входит покупатель, он ищет ее глазами, и вот она воплощается снова, и снова крутится колесо, играет в руке острый нож, листик пергамента слетает под сосиску, качается стрелка весов и извечным звуком ― трах-тарарах- тррр ― гремит железная касса. [Н. Н. Берберова. Курсив мой (1960-1966)] [омонимия не снята]
 и ималет имынбодопеемз имыннилд хи; имыртсо ;их длинными змееподобными телами и ; острыми ; ; зубами, по-настоящему противны.;П. Каплин. В водах Адриатического моря // «Спортсмен-подводник», 1964;П. Каплин;;В водах Адриатического моря;1964;нехудожественная, публицистика;статья;природа, путешествия, спорт;«Спортсмен-подводник»;1964;журнал;омонимия не снята;Но вот мурены, с их длинными змееподобными телами и острыми зубами, по-настоящему противны. [П. Каплин. В водах Адриатического моря // «Спортсмен-подводник», 1964] [омонимия не снята]
 имыннелаксо с тор и оцил; имыртсо ;лицо и рот с оскаленными ; острыми ; ; зубами, и потому никто его;А. М. Волков. Урфин Джюс и его деревянные солдаты (1963);А. М. Волков;1891;Урфин Джюс и его деревянные солдаты;1963;художественная;сказка;_;;;книга;омонимия не снята;У клоуна было свирепое лицо и рот с оскаленными острыми зубами, и потому никто его не купил. [А. М. Волков. Урфин Джюс и его деревянные солдаты (1963)] [омонимия не снята]
 еынморго илачрот йороток в ,юьтсап; еыртсо ;пастью, в которой торчали огромные ; острые ; ; зубы…;А. М. Волков. Урфин Джюс и его деревянные солдаты (1963);А. М. Волков;1891;Урфин Джюс и его деревянные солдаты;1963;художественная;сказка;_;;;книга;омонимия не снята;Он нарисовал на полотнище страшную звериную морду с огромной гривой, огромными глазами, огромной разинутой пастью, в которой торчали огромные острые зубы… [А. М. Волков. Урфин Джюс и его деревянные солдаты (1963)] [омонимия не снята]
 и хикторок овтсежонм ьсолендив итсап; хыртсо ;пасти виднелось множество коротких и ; острых ; ; зубов.;А. М. Волков. Урфин Джюс и его деревянные солдаты (1963);А. М. Волков;1891;Урфин Джюс и его деревянные солдаты;1963;художественная;сказка;_;;;книга;омонимия не снята;Голова чудища, круглая и толстая, сидела на короткой шее и в широко раскрытой пасти виднелось множество коротких и острых зубов. [А. М. Волков. Урфин Джюс и его деревянные солдаты (1963)] [омонимия не снята]
 и хыннилд идерс йен в; хыртсо ;в ней среди длинных и ; острых ; ; зубов трепетал красный язык, желтые;А. М. Волков. Урфин Джюс и его деревянные солдаты (1963);А. М. Волков;1891;Урфин Джюс и его деревянные солдаты;1963;художественная;сказка;_;;;книга;омонимия не снята;Он взмахивал громадными кожистыми крыльями, широкая пасть его была разинута, и в ней среди длинных и острых зубов трепетал красный язык, желтые глаза величиной с тарелку были наполовину прикрыты непрозрачной оболочкой. [А. М. Волков. Урфин Джюс и его деревянные солдаты (1963)] [омонимия не снята]
 екур в и анамйоп ежу; йыртсо ;уже поймана и в руке ; острый ; ; нож.;В. Орлов. Как я стал подводным охотником (Исповедь, содержащая ряд практических советов) // «Спортсмен-подводник», 1963;В. Орлов;;Как я стал подводным охотником (Исповедь, содержащая ряд практических советов);1963;нехудожественная, публицистика;статья;природа, спорт;«Спортсмен-подводник»;1963;журнал;омонимия не снята;Мы уже видели, что убить ерша столь же почетно, как зарезать курицу, если она уже поймана и в руке острый нож. [В. Орлов. Как я стал подводным охотником (Исповедь, содержащая ряд практических советов) // «Спортсмен-подводник», 1963] [омонимия не снята]
" аД 	 тетсак йобос с"; йыртсо ;"с собой кастет 	 Да "; острый ; ;" нож совать за голенище 	";Сергей Довлатов. Армейские письма к отцу (Из сборника «Сергей Довлатов: творчество, личность, судьба») (1962-1963);Сергей Довлатов;1941;Армейские письма к отцу (Из сборника «Сергей Довлатов: творчество, личность, судьба»);1962-1963;бытовая, нехудожественная;письмо личное;_;;;книга;омонимия не снята;"Мигунь, Мигунь, опасный городишко 	 Пойдешь один ― не соберешь костей 	 На танцы надо брать с собой кастет 	 Да острый нож совать за голенище 	 А я был храбр, мне было все равно 	 Меня за это уважала охра 	 Мне от рожденья было суждено 	 Не от ножа, а от любви подохнуть 	 [Сергей Довлатов. Армейские письма к отцу (Из сборника «Сергей Довлатов: творчество, личность, судьба») (1962-1963)] [омонимия не снята]"
 ан ясйишвавылаксар отсорп кат ,наидисбо; еыртсо ;обсидиан, так просто раскалывавшийся на ; острые ; ; ножи или наконечники копий.;И. А. Ефремов. Лезвие бритвы (1959-1963);И. А. Ефремов;1908;Лезвие бритвы;1959-1963;художественная;роман;_;;;книга;омонимия не снята;Мог оказаться и стекловидный обсидиан, так просто раскалывавшийся на острые ножи или наконечники копий. [И. А. Ефремов. Лезвие бритвы (1959-1963)] [омонимия не снята]
 ан ,мен ан ужис и; мортсо ;и сижу на нем, на ; остром ; ; ноже- ледорезе…;Андрей Битов. Автобус (1962);Андрей Битов;1937;Автобус;1962;художественная;эссе;_;;;книга;омонимия не снята;Я доплываю до быка, и взбираюсь, и сижу на нем, на остром ноже- ледорезе… [Андрей Битов. Автобус (1962)] [омонимия не снята]
 тачрот ыноротс есв ов ,нитсалп; еыртсо ;пластин, во все стороны торчат ; острые ; ; иглы.;В. А. Суетин. Три экспедиции // «Спортсмен-подводник», 1962;В. А. Суетин;;Три экспедиции;1962;нехудожественная, публицистика;статья;путешествия;«Спортсмен-подводник»;1962;журнал;омонимия не снята;Тело ежа заключено в панцирь из известковых пластин, во все стороны торчат острые иглы. [В. А. Суетин. Три экспедиции // «Спортсмен-подводник», 1962] [омонимия не снята]
 ьсализнов янем в ― илоб; яартсо ;боли ― в меня вонзилась ; острая ; ; игла.;Владимир Брагин. В стране дремучих трав (1962);Владимир Брагин;1896;В стране дремучих трав;1962;художественная;роман;_;;;книга;омонимия не снята;Я прислонился к какому-то дереву и вскрикнул от боли ― в меня вонзилась острая игла. [Владимир Брагин. В стране дремучих трав (1962)] [омонимия не снята]
 еыннежасу ,икнитсалп еынтсюлеч окьлоТ; имыртсо ;Только челюстные пластинки, усаженные ; острыми ; ; зубами, и несколько глаз успел;Владимир Брагин. В стране дремучих трав (1962);Владимир Брагин;1896;В стране дремучих трав;1962;художественная;роман;_;;;книга;омонимия не снята;Только челюстные пластинки, усаженные острыми зубами, и несколько глаз успел я рассмотреть. [Владимир Брагин. В стране дремучих трав (1962)] [омонимия не снята]
 ямерт с яаджак ― ынибыр; имыртсо ;рыбины ― каждая с тремя ; острыми ; ; иглами на спине ― плыли;Владимир Брагин. В стране дремучих трав (1962);Владимир Брагин;1896;В стране дремучих трав;1962;художественная;роман;_;;;книга;омонимия не снята;Две рыбины ― каждая с тремя острыми иглами на спине ― плыли одна вслед за другой. [Владимир Брагин. В стране дремучих трав (1962)] [омонимия не снята]
 ,атнумсоР алировог отч ,оТ; имыртсо ;То, что говорила Росмунта, ; острыми ; ; иглами вонзалось в душу Коравье,;Юрий Рытхэу. В долине Маленьких Зайчиков (1962);Юрий Рытхэу;1930;В долине Маленьких Зайчиков;1962;художественная;роман;_;;;книга;омонимия не снята;То, что говорила Росмунта, острыми иглами вонзалось в душу Коравье, будило мысли, которые он упорно от себя отгонял. [Юрий Рытхэу. В долине Маленьких Зайчиков (1962)] [омонимия не снята]
 алазер и осям ынэмэк с; мыртсо ;с кэмэны мясо и резала ; острым ; ; ножом у самых губ.;Юрий Рытхэу. В долине Маленьких Зайчиков (1962);Юрий Рытхэу;1930;В долине Маленьких Зайчиков;1962;художественная;роман;_;;;книга;омонимия не снята;Елизавета Андреевна ловко брала с кэмэны мясо и резала острым ножом у самых губ. [Юрий Рытхэу. В долине Маленьких Зайчиков (1962)] [омонимия не снята]
 и йыннилд укиратс вуняторп ,ьсалунрев; йыртсо ;вернулась, протянув старику длинный и ; острый ; ; нож.;Виктор Драгунский. Он упал на траву (1961);Виктор Драгунский;1913;Он упал на траву;1961;художественная;повесть;_;;;книга;омонимия не снята;Она скрылась и быстро вернулась, протянув старику длинный и острый нож. [Виктор Драгунский. Он упал на траву (1961)] [омонимия не снята]
 яслянирп и екепецнлос ан яслесу; мыртсо ;уселся на солнцепеке и принялся ; острым ; ; ножом нарезать из сыромятной кожи;А. И. Мусатов. Земля молодая (1960);А. И. Мусатов;1911;Земля молодая;1960;художественная;повесть;_;;;книга;омонимия не снята;Митя небрежно попинал их ногой, сплюнул, потом уселся на солнцепеке и принялся острым ножом нарезать из сыромятной кожи тонкие ремешки. [А. И. Мусатов. Земля молодая (1960)] [омонимия не снята]
 хи и ,ыротавитьлук илипецирп мароткарт; еыртсо ;тракторам прицепили культиваторы, и их ; острые ; ; ножи, похожие на гусиные лапы,;А. И. Мусатов. Земля молодая (1960);А. И. Мусатов;1911;Земля молодая;1960;художественная;повесть;_;;;книга;омонимия не снята;К тракторам прицепили культиваторы, и их острые ножи, похожие на гусиные лапы, рыхлили землю, срезали под корень густые сорняки, и паровое поле из желто-зеленого становилось черным. [А. И. Мусатов. Земля молодая (1960)] [омонимия не снята]
 илазерто еищюалеЖ; мыртсо ;Желающие отрезали ; острым ; ; ножом сколько нужно, клали мясо;А. П. Ладинский. Анна Ярославна ― королева Франции (1960);А. П. Ладинский;1895;Анна Ярославна ― королева Франции;1960;художественная;роман;_;;;книга;омонимия не снята;Желающие отрезали острым ножом сколько нужно, клали мясо на ломоть хлеба, солили по вкусу, опуская персты в солонку, и насыщались, прерывая еду только для того, чтобы послушать очередного скальда. [А. П. Ладинский. Анна Ярославна ― королева Франции (1960)] [омонимия не снята]
 яавилбаксос онжоротсо от ,уциньлинреч в; мыртсо ;в чернильницу, то осторожно соскабливая ; острым ; ; ножом допущенные ошибки.;А. П. Ладинский. Анна Ярославна ― королева Франции (1960);А. П. Ладинский;1895;Анна Ярославна ― королева Франции;1960;художественная;роман;_;;;книга;омонимия не снята;Два или три монаха прилежно переписывали в течение многих часов книги, то макая тростник в чернильницу, то осторожно соскабливая острым ножом допущенные ошибки. [А. П. Ладинский. Анна Ярославна ― королева Франции (1960)] [омонимия не снята]
 ,имятсюлеч имыньлис хыннеледан ,акинщих хындащопсеб; имыртсо ;беспощадных хищника, наделенных сильными челюстями, ; острыми ; ; зубами и неутолимым аппетитом.;А. П. Ладинский. Анна Ярославна ― королева Франции (1960);А. П. Ладинский;1895;Анна Ярославна ― королева Франции;1960;художественная;роман;_;;;книга;омонимия не снята;Молодой король и граф Рауль сидели друг против друга, как два приятеля, и Филипп, в знак любви к своему надменному вассалу, шутливо ударял его кулаком по колену, и оба смотрели друг на друга понимающими глазами, потому что, несмотря на разницу в летах, были одного поля ягоды ― два беспощадных хищника, наделенных сильными челюстями, острыми зубами и неутолимым аппетитом. [А. П. Ладинский. Анна Ярославна ― королева Франции (1960)] [омонимия не снята]
 яслунхамаз сунгаМ и ,акард ьсалазяваЗ; мыртсо ;Завязалась драка, и Магнус замахнулся ; острым ; ; ножом на брата, желая его;А. П. Ладинский. Последний путь Владимира Мономаха (1960);А. П. Ладинский;1895;Последний путь Владимира Мономаха;1960;художественная;роман;_;;;книга;омонимия не снята;Завязалась драка, и Магнус замахнулся острым ножом на брата, желая его убить, как некогда Каин Авеля. [А. П. Ладинский. Последний путь Владимира Мономаха (1960)] [омонимия не снята]
 еертсо ,икер йортсыб еертсыб ьвобюл; огортсо ;любовь быстрее быстрой реки, острее ; острого ; ; ножа.;Б. В. Шергин. Древние памяти (1930-1960);Б. В. Шергин;1893;Древние памяти;1930-1960;художественная;рассказ, цикл;_;;;книга;омонимия не снята;И любовь быстрее быстрой реки, острее острого ножа. [Б. В. Шергин. Древние памяти (1930-1960)] [омонимия не снята]
 илираду ьзьлоксв отч ,еще ошороХ; еыртсо ;Хорошо еще, что вскользь ударили ; острые ; ; зубья! ;В. А. Солоухин. Капля росы (1959);В. А. Солоухин;1924;Капля росы;1959;художественная;повесть;_;;;книга;омонимия не снята;Хорошо еще, что вскользь ударили острые зубья!  [В. А. Солоухин. Капля росы (1959)] [омонимия не снята]
 ,еынтолп алижанбо ееньлис ,ончыбо меч; еыртсо ;чем обычно, сильнее обнажила плотные, ; острые ; ; зубы.;Г. Е. Николаева. Битва в пути (1959);Г. Е. Николаева;1911;Битва в пути;1959;художественная;роман;_;;;книга;омонимия не снята;"А за три дня… ― Вальган повернулся к Бахиреву и улыбнулся ему своей великолепной улыбкой; верхняя губа приподнялась больше, чем обычно, сильнее обнажила плотные, острые зубы. [Г. Е. Николаева. Битва в пути (1959)] [омонимия не снята]"
 йоксал с; йертсо ;с лаской ; острей ; ; ножа допытывался Агей, бесчувственным пальцем;Л. М. Леонов. Вор. Части 1-2 (1927-1959);Л. М. Леонов;1899;Вор. Части 1-2;1927-1959;художественная;роман;_;;;книга;омонимия не снята;с лаской острей ножа допытывался Агей, бесчувственным пальцем поигрывая с пламенем свечи. [Л. М. Леонов. Вор. Части 1-2 (1927-1959)] [омонимия не снята]
 еиклем яавызакоп и ьсяабылу ,но; еыртсо ;он, улыбаясь и показывая мелкие ; острые ; ; зубы.;К. Г. Паустовский. Повесть о жизни. Время больших ожиданий (1958);К. Г. Паустовский;1892;Повесть о жизни. Время больших ожиданий;1958;художественная;роман;_;;;книга;омонимия не снята;спросил он, улыбаясь и показывая мелкие острые зубы. [К. Г. Паустовский. Повесть о жизни. Время больших ожиданий (1958)] [омонимия не снята]
" хи ,хынтовиж лавиртамсо ;иушеч и"; еыртсо ;"и чешуи; осматривал животных, их "; острые ; ; зубы и могучие челюсти, их;Ал. Алтаев (М. В. Ямщикова). Микельанджело (1955);Ал. Алтаев (М. В. Ямщикова);1872;Микельанджело;1955;художественная;повесть;_;;;книга;омонимия не снята;"Здесь он внимательно разглядывал птиц со всевозможными формами хвостов и разнообразным оперением, рыб, толстых и продолговатых, похожих на змей, цвет их плавников и чешуи; осматривал животных, их острые зубы и могучие челюсти, их когти и щетину… [Ал. Алтаев (М. В. Ямщикова). Микельанджело (1955)] [омонимия не снята]"
 еиклем течярп ен утуним ан; еыртсо ;на минуту не прячет мелкие ; острые ; ; зубы.;В. Кривенченко. Первая победа // «Крестьянка», 1954;В. Кривенченко;;Первая победа;1954;нехудожественная, публицистика;очерк;сельское хозяйство;«Крестьянка»;1954;журнал;омонимия не снята;Сочинительница задиристых частушек, она поблескивает черными глазами, ни на минуту не прячет мелкие острые зубы. [В. Кривенченко. Первая победа // «Крестьянка», 1954] [омонимия не снята]
 ежух олыб отэ енМ; огортсо ;Мне это было хуже ; острого ; ; ножа, мало что второй, так;Даниил Гранин. Искатели (1954);Даниил Гранин;1919;Искатели;1954;художественная;роман;_;;;книга;омонимия не снята;Мне это было хуже острого ножа, мало что второй, так еще и последний. [Даниил Гранин. Искатели (1954)] [омонимия не снята]
 икур в ястеад умоннелП; йыртсо ;Пленному дается в руки ; острый ; ; нож, чтобы взрезать покрышку над;В. М. Чернов. Перед бурей. Воспоминания (1953);В. М. Чернов;1873;Перед бурей. Воспоминания;1953;нехудожественная, публицистика;мемуары;история, политика и общественная жизнь;;;книга;омонимия не снята;Пленному дается в руки острый нож, чтобы взрезать покрышку над головой. [В. М. Чернов. Перед бурей. Воспоминания (1953)] [омонимия не снята]
 яаннилд ястеавипв ,анелок ешывоп ,оге; яартсо ;его, повыше колена, впивается длинная ; острая ; ; игла.;А. И. Пантелеев. Ленька Пантелеев (1938-1952);А. И. Пантелеев;1908;Ленька Пантелеев;1938-1952;художественная;повесть;_;;;книга;омонимия не снята;Ленька не понимает, в чем дело, доверчиво поворачивается на живот и вдруг чувствует, как в ногу его, повыше колена, впивается длинная острая игла. [А. И. Пантелеев. Ленька Пантелеев (1938-1952)] [омонимия не снята]
 асяоп у огоджак у ,еовд; йыртсо ;двое, у каждого у пояса ; острый ; ; нож в ножнах подвешен, как;В. А. Обручев. В дебрях Центральной Азии (1951);В. А. Обручев;1863;В дебрях Центральной Азии;1951;художественная;роман;_;;;книга;омонимия не снята;Не захотят ли они меня ограбить, ― думаю, я один, их двое, у каждого у пояса острый нож в ножнах подвешен, как всегда у монголов в дороге, а у меня ружье в палатке и не заряжено». [В. А. Обручев. В дебрях Центральной Азии (1951)] [омонимия не снята]
 ьсалашывзов етсем могурд В; яартсо ;В другом месте возвышалась ; острая ; ; игла, вероятно остаток сторожевой башни.;В. А. Обручев. В дебрях Центральной Азии (1951);В. А. Обручев;1863;В дебрях Центральной Азии;1951;художественная;роман;_;;;книга;омонимия не снята;В другом месте возвышалась острая игла, вероятно остаток сторожевой башни. [В. А. Обручев. В дебрях Центральной Азии (1951)] [омонимия не снята]
 илыб ындив хавюлк хытунизар в; еыртсо ;в разинутых клювах видны были ; острые ; ; зубы.;В. А. Обручев. Полет по планетам (1950);В. А. Обручев;1863;Полет по планетам;1950;художественная;рассказ;_;;;книга;омонимия не снята;Только головы у них были покрупнее, и в разинутых клювах видны были острые зубы. [В. А. Обручев. Полет по планетам (1950)] [омонимия не снята]
 йоннежбанс ,юьтсап йошьлоб с аволог; имыртсо ;голова с большой пастью, снабженной ; острыми ; ; зубами, с большим рогом на;В. А. Обручев. Полет по планетам (1950);В. А. Обручев;1863;Полет по планетам;1950;художественная;рассказ;_;;;книга;омонимия не снята;У него была более крупная голова с большой пастью, снабженной острыми зубами, с большим рогом на переносице и несколькими поменьше на шее. [В. А. Обручев. Полет по планетам (1950)] [омонимия не снята]
 анишрев еще яантсевзиен андо окьлот; мыртсо ;только одна неизвестная еще вершина ; острым ; ; ножом, прорвав гущу облаков, торчит над;И. А. Черепов. Загадки Тянь-Шаня (Из истории открытия и покорения Пика Победы. Экспедиции А. Летавета 1937-1938 гг.) (1945-1950);И. А. Черепов;;Загадки Тянь-Шаня (Из истории открытия и покорения Пика Победы. Экспедиции А. Летавета 1937-1938 гг.);1945-1950;нехудожественная, публицистика;монография;путешествия;;;книга;омонимия не снята;Все закрыто, только одна неизвестная еще вершина острым ножом, прорвав гущу облаков, торчит над этим неспокойным!  [И. А. Черепов. Загадки Тянь-Шаня (Из истории открытия и покорения Пика Победы. Экспедиции А. Летавета 1937-1938 гг.) (1945-1950)] [омонимия не снята]
 ,анишрев еще яантсевзиен андо «; мыртсо ;« одна неизвестная еще вершина, ; острым ; ; ножом прорезав гущу облаков, торчит;И. А. Черепов. Загадки Тянь-Шаня (Из истории открытия и покорения Пика Победы. Экспедиции А. Летавета 1937-1938 гг.) (1945-1950);И. А. Черепов;;Загадки Тянь-Шаня (Из истории открытия и покорения Пика Победы. Экспедиции А. Летавета 1937-1938 гг.);1945-1950;нехудожественная, публицистика;монография;путешествия;;;книга;омонимия не снята;Лишь « одна неизвестная еще вершина, острым ножом прорезав гущу облаков, торчит над этим неспокойным морем. [И. А. Черепов. Загадки Тянь-Шаня (Из истории открытия и покорения Пика Победы. Экспедиции А. Летавета 1937-1938 гг.) (1945-1950)] [омонимия не снята]
 ьсиларитс ыб как митэ :увтсневарен; еыртсо ;неравенству: этим как бы стирались ; острые ; ; зубы общества и народа в;митрополит Вениамин (Федченков). На рубеже двух эпох (1940-1950);митрополит Вениамин (Федченков);1880;На рубеже двух эпох;1940-1950;нехудожественная, церковно-богословская;мемуары;религия, философия;;;книга;омонимия не снята;"И можно думать, что вражда и к Церкви в революционно- демократических и даже вообще демократических ( у кадет) кругах в некоторой степени вызывалась терпеливым отношением ее к социальному неравенству: этим как бы стирались острые зубы общества и народа в борьбе против « ненавистных» условий капиталистического строя и их носителей; Церковь будто бы воспитывала этим чувства « сервилизма», рабской придушенной психологии бедных в отношении к эксплуататорам. [митрополит Вениамин (Федченков). На рубеже двух эпох (1940-1950)] [омонимия не снята]"
